Title,Code,Type,2019EmpNum,2029EmpProjNum,2019Dist,2029ProjDist,10yrChgNum,10yrChgPct, AnnAvgOpens 
"Total, all occupations",00-0000,Summary,162795.60,168834.70,100.00,100.00,6039.20,3.70,17454.30
Management occupations,11-0000,Summary,10697.20,11202.20,6.60,6.60,505.00,4.70,843.00
Top executives,11-1000,Summary,2828.00,2946.30,1.70,1.70,118.30,4.20,222.20
Chief executives,11-1011,Line item,287.90,259.10,0.20,0.20,-28.70,-10.00,13.90
General and operations managers,11-1021,Line item,2486.40,2630.20,1.50,1.60,143.80,5.80,204.40
Legislators,11-1031,Line item,53.70,57.00,0.00,0.00,3.30,6.20,3.90
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,836.70,879.00,0.50,0.50,42.30,5.10,70.00
Advertising and promotions managers,11-2011,Line item,28.60,28.30,0.00,0.00,-0.30,-1.10,2.50
Marketing and sales managers,11-2020,Summary,720.10,754.60,0.40,0.40,34.50,4.80,59.90
Marketing managers,11-2021,Line item,286.30,305.40,0.20,0.20,19.10,6.70,24.60
Sales managers,11-2022,Line item,433.80,449.20,0.30,0.30,15.40,3.50,35.30
Public relations and fundraising managers,11-2030,Line item,88.00,96.10,0.10,0.10,8.10,9.20,7.60
Operations specialties managers,11-3000,Summary,2116.60,2316.60,1.30,1.40,200.00,9.40,168.50
Administrative services and facilities managers,11-3010,Line item,325.90,347.00,0.20,0.20,21.20,6.50,26.30
Computer and information systems managers,11-3021,Line item,461.00,509.20,0.30,0.30,48.10,10.40,36.80
Financial managers,11-3031,Line item,697.90,806.00,0.40,0.50,108.10,15.50,59.60
Industrial production managers,11-3051,Line item,190.10,191.90,0.10,0.10,1.70,0.90,11.70
Purchasing managers,11-3061,Line item,76.90,78.90,0.00,0.00,2.00,2.60,5.60
"Transportation, storage, and distribution managers",11-3071,Line item,139.40,144.30,0.10,0.10,4.90,3.50,10.00
Compensation and benefits managers,11-3111,Line item,18.00,18.40,0.00,0.00,0.50,2.50,1.30
Human resources managers,11-3121,Line item,165.20,175.60,0.10,0.10,10.40,6.30,13.30
Training and development managers,11-3131,Line item,42.30,45.40,0.00,0.00,3.10,7.30,3.70
Other management occupations,11-9000,Summary,4915.90,5060.30,3.00,3.00,144.40,2.90,382.30
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,952.30,890.60,0.60,0.50,-61.60,-6.50,80.90
Construction managers,11-9021,Line item,476.70,517.10,0.30,0.30,40.40,8.50,34.70
Education and childcare administrators,11-9030,Summary,595.10,618.20,0.40,0.40,23.10,3.90,42.00
"Education and childcare administrators, preschool and daycare",11-9031,Line item,69.20,69.90,0.00,0.00,0.70,1.00,4.60
"Education administrators, kindergarten through secondary",11-9032,Line item,283.20,294.40,0.20,0.20,11.10,3.90,20.00
"Education administrators, postsecondary",11-9033,Line item,190.50,197.60,0.10,0.10,7.10,3.70,13.40
"Education administrators, all other",11-9039,Line item,52.10,56.40,0.00,0.00,4.20,8.10,4.00
Architectural and engineering managers,11-9041,Line item,198.10,203.20,0.10,0.10,5.10,2.60,12.50
Food service managers,11-9051,Line item,352.60,354.80,0.20,0.20,2.20,0.60,34.80
Gambling managers,11-9071,Line item,5.10,5.60,0.00,0.00,0.50,8.80,0.60
Lodging managers,11-9081,Line item,57.20,50.60,0.00,0.00,-6.70,-11.70,4.50
Medical and health services managers,11-9111,Line item,422.30,555.50,0.30,0.30,133.20,31.50,47.00
Natural sciences managers,11-9121,Line item,71.40,74.80,0.00,0.00,3.40,4.80,4.90
Postmasters and mail superintendents,11-9131,Line item,13.40,10.50,0.00,0.00,-2.90,-21.90,0.50
"Property, real estate, and community association managers",11-9141,Line item,367.90,368.70,0.20,0.20,0.80,0.20,26.00
Social and community service managers,11-9151,Line item,175.50,205.40,0.10,0.10,29.80,17.00,17.10
Emergency management directors,11-9161,Line item,10.40,10.90,0.00,0.00,0.50,4.50,0.70
