Title,Code,Type,2019EmpNum,2029EmpProjNum,ChgNum,ChgPct,PctSelfEmp, AnnAvgOpens ,MedWage,Education,Experience,Training
"Total, all occupations",00-0000,Summary,162795.60,168834.70,6039.20,3.70,5.80,17454.30,39810.00,—,—,—
Management occupations,11-0000,Summary,10697.20,11202.20,505.00,4.70,18.60,843.00,105660.00,—,—,—
Top executives,11-1000,Summary,2828.00,2946.30,118.30,4.20,3.00,222.20,103230.00,—,—,—
Chief executives,11-1011,Line item,287.90,259.10,-28.70,-10.00,24.20,13.90,184460.00,Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Line item,2486.40,2630.20,143.80,5.80,0.60,204.40,100780.00,Bachelor's degree,5 years or more,None
Legislators,11-1031,Line item,53.70,57.00,3.30,6.20,—,3.90,29270.00,Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,836.70,879.00,42.30,5.10,4.70,70.00,128870.00,—,—,—
Advertising and promotions managers,11-2011,Line item,28.60,28.30,-0.30,-1.10,11.00,2.50,125510.00,Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,Summary,720.10,754.60,34.50,4.80,5.00,59.90,130700.00,—,—,—
Marketing managers,11-2021,Line item,286.30,305.40,19.10,6.70,5.00,24.60,136850.00,Bachelor's degree,5 years or more,None
Sales managers,11-2022,Line item,433.80,449.20,15.40,3.50,5.10,35.30,126640.00,Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2030,Line item,88.00,96.10,8.10,9.20,—,7.60,116180.00,Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,Summary,2116.60,2316.60,200.00,9.40,1.80,168.50,120960.00,—,—,—
Administrative services and facilities managers,11-3010,Line item,325.90,347.00,21.20,6.50,0.40,26.30,96940.00,Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,Line item,461.00,509.20,48.10,10.40,1.80,36.80,146360.00,Bachelor's degree,5 years or more,None
Financial managers,11-3031,Line item,697.90,806.00,108.10,15.50,2.00,59.60,129890.00,Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,Line item,190.10,191.90,1.70,0.90,1.00,11.70,105480.00,Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,Line item,76.90,78.90,2.00,2.60,3.50,5.60,121110.00,Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,Line item,139.40,144.30,4.90,3.50,3.10,10.00,94560.00,High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,Line item,18.00,18.40,0.50,2.50,1.90,1.30,122270.00,Bachelor's degree,5 years or more,None
Human resources managers,11-3121,Line item,165.20,175.60,10.40,6.30,2.10,13.30,116720.00,Bachelor's degree,5 years or more,None
Training and development managers,11-3131,Line item,42.30,45.40,3.10,7.30,3.60,3.70,113350.00,Bachelor's degree,5 years or more,None
Other management occupations,11-9000,Summary,4915.90,5060.30,144.40,2.90,37.30,382.30,91300.00,—,—,—
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,952.30,890.60,-61.60,-6.50,66.70,80.90,71160.00,High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,Line item,476.70,517.10,40.40,8.50,37.90,34.70,95260.00,Bachelor's degree,None,Moderate-term on-the-job training
Education and childcare administrators,11-9030,Summary,595.10,618.20,23.10,3.90,3.70,42.00,91130.00,—,—,—
"Education and childcare administrators, preschool and daycare",11-9031,Line item,69.20,69.90,0.70,1.00,8.60,4.60,48210.00,Bachelor's degree,Less than 5 years,None
"Education administrators, kindergarten through secondary",11-9032,Line item,283.20,294.40,11.10,3.90,1.90,20.00,96400.00,Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,Line item,190.50,197.60,7.10,3.70,4.10,13.40,95410.00,Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,Line item,52.10,56.40,4.20,8.10,6.00,4.00,85450.00,Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,Line item,198.10,203.20,5.10,2.60,—,12.50,144830.00,Bachelor's degree,5 years or more,None
Food service managers,11-9051,Line item,352.60,354.80,2.20,0.60,32.10,34.80,55320.00,High school diploma or equivalent,Less than 5 years,None
Gambling managers,11-9071,Line item,5.10,5.60,0.50,8.80,11.40,0.60,74970.00,High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,Line item,57.20,50.60,-6.70,-11.70,31.10,4.50,54430.00,High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,Line item,422.30,555.50,133.20,31.50,2.80,47.00,100980.00,Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,Line item,71.40,74.80,3.40,4.80,—,4.90,129100.00,Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,Line item,13.40,10.50,-2.90,-21.90,0.70,0.50,76900.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,Line item,367.90,368.70,0.80,0.20,37.90,26.00,58760.00,High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,Line item,175.50,205.40,29.80,17.00,4.80,17.10,67150.00,Bachelor's degree,Less than 5 years,None
Emergency management directors,11-9161,Line item,10.40,10.90,0.50,4.50,—,0.70,74590.00,Bachelor's degree,5 years or more,None
Funeral home managers,11-9171,Line item,28.60,26.90,-1.60,-5.70,66.50,1.60,76350.00,Associate's degree,Less than 5 years,None
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,Line item,1189.20,1167.50,-21.70,-1.80,57.60,74.50,110630.00,Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,Summary,9016.30,9492.50,476.20,5.30,4.50,813.00,69820.00,—,—,—
Business operations specialists,13-1000,Summary,5944.00,6311.90,367.90,6.20,3.70,561.70,68730.00,—,—,—
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,21.90,24.40,2.60,11.80,22.50,2.70,73740.00,Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Line item,449.30,409.70,-39.70,-8.80,3.50,36.00,64380.00,Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,348.80,326.80,-22.00,-6.30,2.30,22.10,66540.00,—,—,—
"Claims adjusters, examiners, and investigators",13-1031,Line item,332.90,311.50,-21.40,-6.40,2.30,21.00,66790.00,High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,Line item,15.90,15.30,-0.60,-4.00,2.80,1.10,63270.00,Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,337.60,353.20,15.60,4.60,0.60,27.70,69050.00,Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,214.20,211.00,-3.20,-1.50,1.30,17.50,65250.00,Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,13-1070,Summary,746.20,787.80,41.60,5.60,1.50,70.70,62440.00,—,—,—
